B+10,,R+13,,M+17,,Guo+10,,W&J10,,K+18,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
11.380575307045895,-1.8787151702786373,12.87063671622495,-2.000735294117647,11.275856496444732,-2.3029555003819704,12.212307469406861,-1.6060070307614875,12.14440663143085,-1.543522858492809,11.46376858435682,-1.7952655993387414
11.459114414996767,-1.8270824119121327,13.064802844214608,-2.119243421052631,11.395846800258564,-2.1361657245134893,12.403880175552,-1.675633452827114,12.304051484847333,-1.5763018141971634,11.651098901098901,-1.6224584184060076
11.524563671622495,-1.7470864661654133,13.239334195216546,-2.2310450495987864,11.529440282900488,-1.969713427166532,12.582223658694247,-1.7639860681114548,12.407930304989128,-1.6861853644391644,11.834356819650935,-1.540346940211491
11.619828700711054,-1.6524318609022552,13.42948150920287,-2.3589345364184453,11.597820909740413,-1.816858807234805,12.768099547511312,-1.8607916850950903,12.543390433096315,-1.7460879572417198,12.017614738202973,-1.5089878056485748
11.715778166470207,-1.6037286663891561,13.603425985778927,-2.486570453540267,11.780704589528117,-1.6824160073386076,12.955031810294967,-1.964384063874857,12.635019392372332,-1.865129300708137,12.20087265675501,-1.5127487837240154
11.793632837750486,-1.5800950906678457,13.778636069812539,-2.592995356037151,11.958274078862313,-1.6359404024767799,13.134615384615383,-2.1019886902129272,12.849780219780218,-1.9988338059682071,12.384130575307045,-1.545693277310924
11.895442792501616,-1.584963411201801,13.950549450549449,-2.7081181814831194,12.136732385261794,-1.641695599292348,13.313510019392371,-2.215104627377266,13.057167097608275,-2.1450533502874833,12.567388493859081,-1.6215944272445817
11.956528765352294,-1.5917182662538696,14.108420990773931,-2.8386946644686577,12.323044602456367,-1.6904869842673909,13.482884762296525,-2.3311483504885206,13.249806076276663,-2.3180125571023398,13.635847608274076,-2.1055292182662537
12.13978668390433,-1.6259674922600618,14.268275841805252,-2.9155763740903056,12.507611506140917,-1.7882059929234848,13.666936005171298,-2.437605831806406,13.408205069969775,-2.428280340662205,13.81620623958085,-2.202399380804953
12.235778926955398,-1.659491099071207,14.353607789269553,-3.027772038091552,12.689560439560438,-1.8823529411764703,13.834280771131981,-2.5332817337461297,13.570025176062327,-2.5727930321395966,14.014161535059367,-2.3112880886426588
12.475759534583062,-1.761803405572755,14.462798965740141,-3.173715907415597,12.872818358112475,-1.9852972768054586,13.995789813901268,-2.6242056379338434,13.731021735617322,-2.664746698432661,14.193802521008402,-2.4098539086687305
12.750646412411118,-1.9021671826625384,14.634421460892048,-3.2227554179566558,13.061587793011942,-2.0911013990083562,14.168422753716872,-2.683900928792569,13.86343423310969,-2.7734499338675738,14.35941480664664,-2.5027545073757054
13.023351648351648,-2.0648219814241484,14.82287056834568,-3.254454253177163,13.230607627666451,-2.2030178484136034,14.356334841628957,-2.7917111581474687,14.010504201680671,-2.812730092661247,14.557045895281188,-2.617536488279522
13.17824822236587,-2.1704193639178158,14.888655462184872,-3.4621414498813876,13.40513897866839,-2.3038170531370437,14.539592760180994,-2.9098336703102285,14.106755009696185,-2.929213503215051,14.749543708886268,-2.7279184119468223
13.274240465416934,-2.2274134534196453,14.919198448610212,-3.5712074303405568,13.588856190249377,-2.421552963290579,14.72285067873303,-3.0243278890503564,14.245071105365222,-3.033750246719907,14.898628682242126,-2.810675586023883
13.370232708468002,-2.2910568533633544,,,13.760019392372332,-2.532465354562877,14.902434253053446,-3.1534707511813584,14.417420814479637,-3.202684266431031,12.938034188034187,-1.7577972709551655
13.466224951519068,-2.3509006473402754,,,13.923060762766644,-2.6344385780628037,15.002100840336134,-3.1776315789473677,14.613371922195451,-3.338453349766075,13.144078144078144,-1.8430799220272904
13.562217194570135,-2.4173937517590764,,,14.109235192052529,-2.6349845201238384,,,14.74506375976964,-3.412735237042955,13.38064713064713,-1.9649122807017543
13.657336780866192,-2.4817337461300304,,,14.297933966486001,-2.7644974994046194,,,14.878645575877409,-3.524614269954927,12.754884004884005,-1.6664230019493176
13.841467356173236,-2.617506332676611,,,14.469780219780219,-2.8432346622859663,,,15.004282482223658,-3.5631512279834525,,
13.937459599224304,-2.6903321137067264,,,14.653038138332255,-2.9635512099576666,,,,,,
14.03345184227537,-2.753025612158739,,,14.709968602825745,-3.118255196815568,,,,,,
14.129444085326437,-2.8204686180692367,,,14.845022624434389,-3.084857866591612,,,,,,
14.225436328377505,-2.890128060793695,,,14.810116354234001,-3.2229102167182657,,,,,,
14.32142857142857,-2.9597875035181533,,,,,,,,,,
14.417420814479637,-3.0303968477343086,,,,,,,,,,
14.513413057530704,-3.1013228257810295,,,,,,,,,,
14.60940530058177,-3.1725654376583163,,,,,,,,,,
14.705397543632836,-3.2452012383900923,,,,,,,,,,
14.793909871640963,-3.31048208757187,,,,,,,,,,
14.89738202973497,-3.393575851393188,,,,,,,,,,
14.974674485178685,-3.424524546660769,,,,,,,,,,
