ZM16,,RP+15,,M+11,,M+18,,B+18,
X,Y,X,Y,X,Y,X,Y,X,Y
11.231375727654557,0.9881061766178475,11.036401149509985,0.11580401273952519,11.683398423108098,0.11231498762383418,10.869280082528922,1.9138546553904567,10.873259155552281,0.4088038500175604
11.39849679463562,0.9881061766178475,11.084150025790288,0.15222363680160086,11.80834131604156,0.1525192815058161,11.053113256208091,1.9365874974314476,11.047726203499543,0.4195685041328243
11.565617861616683,0.9881061766178475,11.131898902070592,0.1981523394668121,11.911797214648884,0.19612507429343728,11.219076774673267,1.9329017870538938,11.191584997420971,0.42239597354964203
11.732738928597746,0.9881061766178475,11.179647778350896,0.25592787900686276,12.021221722791246,0.25100188408202534,11.39849679463562,1.8737513195001538,11.406454940682337,0.43595638602919573
11.899859995578808,0.9881061766178475,11.231375727654557,0.32722777611906523,12.163703145281511,0.32783534777586826,11.576418202680085,1.737145852387474,11.585513226733475,0.4522026994205751
12.06698106255987,0.9881061766178475,11.291061823004936,0.4201481566146132,12.325620809078181,0.4167786226951441,11.775712917250019,1.5325429970929898,11.716822636504311,0.45986266743125404
12.234102129540933,0.9881061766178475,11.372632819983789,0.539379671224517,12.503883280524647,0.48544305184778713,11.952506192503245,1.3849240694515943,11.923734433718959,0.46004115543487206
12.401223196521995,0.9881061766178475,11.510479278293,0.6726310684065878,12.671800162110383,0.5112546088268661,12.138604376980325,1.2985232942638487,12.103098802310356,0.45397059668739587
12.568344263503057,0.9881061766178475,11.683853174310768,0.7085134477434943,12.84608356053349,0.48884576288489434,12.321641736054822,1.260191977204793,12.238081202564292,0.4503264505267707
12.735465330484121,0.9881061766178475,11.85455977962057,0.6690052425979212,13.015768919018495,0.4343080267195515,12.484421996101313,1.2432073869425735,12.448972072802299,0.4404504812234521
12.902586397465182,0.9881061766178475,12.025598703116941,0.6245963715318499,13.189648094150341,0.3596163374612281,12.663842016063665,1.232725933238805,12.628030358853438,0.4268094283554478
13.069707464446246,0.9881061766178475,12.20113266734739,0.5935065758991159,13.353752061806,0.2871413982302359,12.846879375138162,1.232725933238805,12.763318841647632,0.42703130761666386
13.236828531427308,0.9881061766178475,12.373063602818226,0.5789207970480514,13.515363643062413,0.22352608671897006,13.00965963518465,1.232725933238805,12.96625156583892,0.4398404743161538
13.40394959840837,0.9881061766178475,12.542633330121356,0.5719640714186652,13.677368759013442,0.1678246351398564,13.17714243607693,1.232725933238805,13.145615934430317,0.4417389602087157
13.571070665389433,0.9881061766178475,12.717100378068618,0.5686444141756616,13.833689484931103,0.12659882110674917,13.360975609756098,1.232725933238805,13.280598334684253,0.44317528723774663
13.738191732370495,0.9881061766178475,12.889118765693816,0.5709405795520206,13.945103529585145,0.10346496493927648,13.534173806445562,1.232725933238805,13.49148920492226,0.46085798322510363
13.905312799351558,0.9881061766178475,13.056239832674878,0.5717080265721514,,,13.702380075160267,1.232725933238805,13.658610271903324,0.47117412434843525
14.07243386633262,0.9881061766178475,13.23070688062214,0.5745308353311311,,,13.886213248839438,1.232725933238805,13.805835973767593,0.45942789298919945
14.239554933313684,0.9881061766178475,13.394544516716795,0.579015065490272,,,14.059411445528902,1.232725933238805,14.008768697958883,0.5045254650026962
14.406676000294746,0.9881061766178475,13.572294995550466,0.5796989709184996,,,14.227617714243607,1.232725933238805,14.134330557807088,0.47639206028613734
14.573797067275809,0.9881061766178475,13.741864722853595,0.5830831629365661,,,14.411450887922776,1.232725933238805,14.21965956819689,0.31115996117500655
14.740918134256871,0.9881061766178475,13.913883110478793,0.5851755550465815,,,14.584649084612241,1.232725933238805,14.175889764939946,0.41027958919060564
14.908039201237933,0.9853710941297164,14.083452837781921,0.5851755550465815,,,14.752855353326947,1.232725933238805,14.346989904944367,0.2676250744881025
,,14.255471225407117,0.5883282301452408,,,14.91997642030801,1.232725933238805,,
,,14.425040952710248,0.5885917185071071,,,,,,
,,14.597059340335443,0.5909684303698399,,,,,,
,,14.766629067638574,0.5920278249961625,,,,,,
,,14.918384791098667,0.5903072716124343,,,,,,
